employment_type,job_title,avg_salary
PT,"3D Computer Vision Researcher",5409.0000
FT,"AI Scientist",66135.5714
FT,"AI Scientist",66135.5714
PT,"AI Scientist",66135.5714
FT,"AI Scientist",66135.5714
PT,"AI Scientist",66135.5714
FT,"AI Scientist",66135.5714
FT,"AI Scientist",66135.5714
FT,"Analytics Engineer",175000.0000
FT,"Analytics Engineer",175000.0000
FT,"Analytics Engineer",175000.0000
FT,"Analytics Engineer",175000.0000
FT,"Applied Data Scientist",175655.0000
FT,"Applied Data Scientist",175655.0000
FT,"Applied Data Scientist",175655.0000
FT,"Applied Data Scientist",175655.0000
FT,"Applied Data Scientist",175655.0000
FT,"Applied Machine Learning Scientist",142068.7500
FT,"Applied Machine Learning Scientist",142068.7500
CT,"Applied Machine Learning Scientist",142068.7500
FT,"Applied Machine Learning Scientist",142068.7500
FT,"BI Data Analyst",74755.1667
FT,"BI Data Analyst",74755.1667
FT,"BI Data Analyst",74755.1667
FT,"BI Data Analyst",74755.1667
FT,"BI Data Analyst",74755.1667
FT,"BI Data Analyst",74755.1667
FT,"Big Data Architect",99703.0000
FT,"Big Data Engineer",51974.0000
FT,"Big Data Engineer",51974.0000
FT,"Big Data Engineer",51974.0000
FT,"Big Data Engineer",51974.0000
FT,"Big Data Engineer",51974.0000
FT,"Big Data Engineer",51974.0000
FT,"Big Data Engineer",51974.0000
FT,"Big Data Engineer",51974.0000
FT,"Business Data Analyst",76691.2000
FT,"Business Data Analyst",76691.2000
FT,"Business Data Analyst",76691.2000
FT,"Business Data Analyst",76691.2000
CT,"Business Data Analyst",76691.2000
FT,"Cloud Data Engineer",124647.0000
FT,"Cloud Data Engineer",124647.0000
PT,"Computer Vision Engineer",44419.3333
FT,"Computer Vision Engineer",44419.3333
FT,"Computer Vision Engineer",44419.3333
FT,"Computer Vision Engineer",44419.3333
FT,"Computer Vision Engineer",44419.3333
FL,"Computer Vision Engineer",44419.3333
FT,"Computer Vision Software Engineer",105248.6667
FT,"Computer Vision Software Engineer",105248.6667
FT,"Computer Vision Software Engineer",105248.6667
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
PT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
FT,"Data Analyst",92893.0619
