job_title,avr_salary,min_salary,min_salary
"Data Scientist",108187.8322,2859,412000
"Machine Learning Scientist",158412.5000,12000,260000
"Big Data Engineer",51974.0000,5882,114047
"Product Data Analyst",13036.0000,6072,20000
"Machine Learning Engineer",104880.1463,20000,250000
"Data Analyst",92893.0619,6072,200000
"Lead Data Scientist",115190.0000,40570,190000
"Business Data Analyst",76691.2000,18442,135000
"Lead Data Engineer",139724.5000,56000,276000
"Lead Data Analyst",92203.0000,19609,170000
"Data Engineer",112725.0000,4000,324000
"Data Science Consultant",69420.7143,5707,103000
"BI Data Analyst",74755.1667,9272,150000
"Director of Data Science",195074.0000,130026,325000
"Research Scientist",109019.5000,42000,450000
"Machine Learning Manager",117104.0000,117104,117104
"Data Engineering Manager",123227.2000,59303,174000
"Machine Learning Infrastructure Engineer",101145.0000,50180,195000
"ML Engineer",117504.0000,15966,270000
"AI Scientist",66135.5714,12000,200000
"Computer Vision Engineer",44419.3333,10000,125000
"Principal Data Scientist",215242.4286,148261,416000
"Data Science Manager",158328.5000,54094,241000
"Head of Data",160162.6000,32974,235000
"3D Computer Vision Researcher",5409.0000,5409,5409
"Data Analytics Engineer",64799.2500,20000,110000
"Applied Data Scientist",175655.0000,54238,380000
"Marketing Data Analyst",88654.0000,88654,88654
"Cloud Data Engineer",124647.0000,89294,160000
"Financial Data Analyst",275000.0000,100000,450000
"Computer Vision Software Engineer",105248.6667,70000,150000
"Director of Data Engineering",156738.0000,113476,200000
"Data Science Engineer",75803.3333,40189,127221
"Principal Data Engineer",328333.3333,185000,600000
"Machine Learning Developer",85860.6667,78791,100000
"Applied Machine Learning Scientist",142068.7500,31875,423000
"Data Analytics Manager",127134.2857,105400,150260
"Head of Data Science",146718.7500,85000,224000
"Data Specialist",165000.0000,165000,165000
"Data Architect",177873.9091,90700,266400
"Finance Data Analyst",61896.0000,61896,61896
"Principal Data Analyst",122500.0000,75000,170000
"Big Data Architect",99703.0000,99703,99703
"Staff Data Scientist",105000.0000,105000,105000
"Analytics Engineer",175000.0000,135000,205300
"ETL Developer",54957.0000,54957,54957
"Head of Machine Learning",79039.0000,79039,79039
"NLP Engineer",37236.0000,37236,37236
"Lead Machine Learning Engineer",87932.0000,87932,87932
"Data Analytics Lead",405000.0000,405000,405000
