employment_type,job_title
PT,"3D Computer Vision Researcher"
FT,"AI Scientist"
PT,"AI Scientist"
FT,"Analytics Engineer"
FT,"Applied Data Scientist"
CT,"Applied Machine Learning Scientist"
FT,"Applied Machine Learning Scientist"
FT,"BI Data Analyst"
FT,"Big Data Architect"
FT,"Big Data Engineer"
CT,"Business Data Analyst"
FT,"Business Data Analyst"
FT,"Cloud Data Engineer"
FL,"Computer Vision Engineer"
FT,"Computer Vision Engineer"
PT,"Computer Vision Engineer"
FT,"Computer Vision Software Engineer"
FT,"Data Analyst"
PT,"Data Analyst"
FT,"Data Analytics Engineer"
FT,"Data Analytics Lead"
FT,"Data Analytics Manager"
FT,"Data Architect"
FL,"Data Engineer"
FT,"Data Engineer"
PT,"Data Engineer"
FT,"Data Engineering Manager"
FT,"Data Science Consultant"
FT,"Data Science Engineer"
FT,"Data Science Manager"
FL,"Data Scientist"
FT,"Data Scientist"
PT,"Data Scientist"
FT,"Data Specialist"
FT,"Director of Data Engineering"
FT,"Director of Data Science"
FT,"ETL Developer"
FT,"Finance Data Analyst"
FT,"Financial Data Analyst"
FT,"Head of Data"
FT,"Head of Data Science"
FT,"Head of Machine Learning"
FT,"Lead Data Analyst"
FT,"Lead Data Engineer"
FT,"Lead Data Scientist"
FT,"Lead Machine Learning Engineer"
FT,"Machine Learning Developer"
FT,"Machine Learning Engineer"
FT,"Machine Learning Infrastructure Engineer"
FT,"Machine Learning Manager"
FL,"Machine Learning Scientist"
FT,"Machine Learning Scientist"
FT,"Marketing Data Analyst"
CT,"ML Engineer"
FT,"ML Engineer"
PT,"ML Engineer"
FT,"NLP Engineer"
FT,"Principal Data Analyst"
FT,"Principal Data Engineer"
CT,"Principal Data Scientist"
FT,"Principal Data Scientist"
FT,"Product Data Analyst"
FT,"Research Scientist"
CT,"Staff Data Scientist"
